case,method,script,seed,seed_argument_available,returncode,runtime_s,log_path,note,success,rel_error_percent,max_rel_error_percent,subspace_weight,parity_score,nodes,nodes_expected,failure_mode,parsed_rows
1D n=5,baseline state-by-state,train_pinn_1d.py,0,True,0,5.953600883483887,data/ablation_native_logs/1D_n5__baseline_state-by-state__seed0.log,native baseline 1D script,False,83.3236,113.3475,,,,,energy error,5
1D n=5,projected Rayleigh,train_pinn_1d_projected_v2.py,0,True,0,36.68576693534851,data/ablation_native_logs/1D_n5__projected_Rayleigh__seed0.log,native projected 1D script,True,0.0335,0.0335,,,4.0,4.0,stable,5
square doublet,subspace Ritz,train_pinn_square_2d_subspace.py,0,True,0,34.19047975540161,data/ablation_native_logs/square_doublet__subspace_Ritz__seed0.log,native square subspace script,True,0.0878,0.1178,0.99995,,,,stable,4
disk m=1,subspace Ritz,train_pinn_disk_2d_subspace.py,0,True,0,78.12768197059631,data/ablation_native_logs/disk_m1__subspace_Ritz__seed0.log,native disk subspace script,True,0.0005,0.0005,1.0,,,,stable,3
ellipse split,generic subspace,train_pinn_ellipse_2d_splitting.py,0,True,0,197.43054676055908,data/ablation_native_logs/ellipse_split__generic_subspace__seed0.log,native generic ellipse script,False,649.7870977990341,3586.741893492455,,0.0,,,branch drift/generic subspace instability,5
ellipse split,symmetry sectors,train_pinn_ellipse_2d_symmetry_v2.py,0,True,0,384.4749460220337,data/ablation_native_logs/ellipse_split__symmetry_sectors__seed0.log,native symmetry-sector ellipse script,True,1.6169527804661201,1.950234880830691,,1.0,,,stable branch tracking,5
1D n=5,baseline state-by-state,train_pinn_1d.py,1,True,0,4.977302074432373,data/ablation_native_logs/1D_n5__baseline_state-by-state__seed1.log,native baseline 1D script,False,95.9631,95.9631,,,,,energy error,5
1D n=5,projected Rayleigh,train_pinn_1d_projected_v2.py,1,True,0,28.868873119354248,data/ablation_native_logs/1D_n5__projected_Rayleigh__seed1.log,native projected 1D script,True,0.0228,0.0231,,,4.0,4.0,stable,5
square doublet,subspace Ritz,train_pinn_square_2d_subspace.py,1,True,0,39.74195194244385,data/ablation_native_logs/square_doublet__subspace_Ritz__seed1.log,native square subspace script,True,0.0878,0.1178,0.99995,,,,stable,4
disk m=1,subspace Ritz,train_pinn_disk_2d_subspace.py,1,True,0,85.11439800262451,data/ablation_native_logs/disk_m1__subspace_Ritz__seed1.log,native disk subspace script,True,0.00035,0.0004,1.0,,,,stable,3
ellipse split,generic subspace,train_pinn_ellipse_2d_splitting.py,1,True,0,203.7661488056183,data/ablation_native_logs/ellipse_split__generic_subspace__seed1.log,native generic ellipse script,False,806.5824370073439,3381.426821650153,,0.0,,,branch drift/generic subspace instability,5
ellipse split,symmetry sectors,train_pinn_ellipse_2d_symmetry_v2.py,1,True,0,435.5708432197571,data/ablation_native_logs/ellipse_split__symmetry_sectors__seed1.log,native symmetry-sector ellipse script,True,1.6759767351612307,1.9963885002545159,,1.0,,,stable branch tracking,5
1D n=5,baseline state-by-state,train_pinn_1d.py,2,True,0,4.950181245803833,data/ablation_native_logs/1D_n5__baseline_state-by-state__seed2.log,native baseline 1D script,False,83.8209,116.6305,,,,,energy error,5
1D n=5,projected Rayleigh,train_pinn_1d_projected_v2.py,2,True,0,35.594614028930664,data/ablation_native_logs/1D_n5__projected_Rayleigh__seed2.log,native projected 1D script,True,0.0234,0.0234,,,4.0,4.0,stable,5
